GEOID_10,TAZ,nid,AM_P,AM_D,AM_Quartile,PM_P,PM_D,PM_Quartile,Nightlife_P,Nightlife_D,Nightlife_Q,MedIncome,p_White,p_NonWhite,p_Workers,p_Drive,p_NoDrive,p_WFH,pd_Workers,pd_Drive,pd_NoDrive,pd_WFH
6075026002,62,10c,2.5,2.5,2,4.6,3.9,2,4,3.4,2,94200,0.41,0.59,2007,1000,957,50,0.003,-0.112,0.173,-0.15
6075026003,47,10c,3.1,2.8,2,3.4,3.9,2,3.8,3.6,2,62563,0.303,0.697,2827,1719,1029,79,0.025,-0.005,0.058,0.356
6075026004,39,10c,1.4,1.2,1,2.4,2.5,1,3.3,3,2,86192,0.332,0.668,2647,1562,1047,38,0.061,0.221,-0.065,-0.594
6075026100,19,10b,1.9,1.7,1,3.7,4,2,4.2,4.6,2,78640,0.214,0.786,3959,2419,1504,36,0.198,0.352,0.022,-0.178
6075026301,11,10b,0.5,0.6,1,0.8,1.1,1,1.3,1,1,65893,0.325,0.675,2437,1463,964,10,0.033,-0.06,0.22,-0.267
6075026302,14,10b,1.3,1.9,1,2,2.5,1,2.2,2.3,1,79375,0.302,0.698,2753,1822,707,224,0.062,0.026,0.091,0.331
6075026303,874,10b,0.4,0.6,1,1.1,1.2,1,1.6,1.6,1,80690,0.245,0.755,2234,1265,951,18,0.059,-0.084,0.36,-0.367
6075026401,17,10e,1.4,1.5,1,1.7,1.6,1,1.4,1.3,1,59453,0.136,0.864,1677,1162,451,64,-0.046,0.112,-0.337,0.912
6075026402,15,10e,1.2,1.5,1,2.5,2.5,1,2.2,2,1,87404,0.205,0.795,2823,1929,821,73,0.272,0.288,0.216,0.574
6075026403,6,10e,1.7,1.7,1,2,1.9,1,1.9,1.4,1,61131,0.166,0.834,1752,816,926,10,0.055,-0.105,0.291,-0.667
6075026404,1,10e,0.8,0.8,1,1,1,1,0.9,0.7,1,54958,0.154,0.846,1478,928,452,98,0.35,0.408,0.27,0.222
6075030101,215,4d,7.9,5,3,7.5,5.5,2,6.2,6.3,3,117668,0.679,0.321,3114,1252,1604,258,-0.013,0.189,-0.097,-0.208
6075030102,195,5h,3.9,3.3,2,7.7,8.5,3,6.4,7.6,3,123333,0.694,0.306,2919,1603,1172,144,0.007,0.099,-0.01,-0.436
6075030201,211,2f,3.7,2.9,2,4.3,5.2,2,3.9,4.9,2,97039,0.605,0.395,2742,1194,1319,229,0.033,0.004,0.085,-0.084
6075030202,213,2f,5.2,3.6,2,9.7,9.8,3,9.4,10,3,114535,0.566,0.434,2754,935,1641,178,0.025,-0.09,0.041,1.106
6075030301,523,2a,0.7,0.7,1,1.5,1.8,1,1.3,1.4,1,140179,0.582,0.418,3268,1889,1078,301,-0.02,-0.008,-0.064,0.086
6075030302,145,4c,1.1,1.2,1,2.8,3.2,2,2.3,2.8,2,135143,0.532,0.468,2215,1287,725,203,0.072,0.1,0.02,0.091
6075030400,503,4c,3.3,3.2,2,2.5,3.5,2,2.3,3.9,2,156786,0.578,0.422,2971,1618,1120,233,0.019,0.07,-0.002,-0.173
6075030500,180,5h,1.7,2,2,4.7,5.3,2,3.4,3.8,2,122813,0.574,0.426,1219,797,345,77,0.018,-0.006,0.15,-0.188
6075030600,117,4b,7.1,3.9,3,5,4.4,2,3.5,3.1,2,155000,0.62,0.38,1108,644,396,68,0.072,-0.04,0.483,-0.289
6075030700,437,4b,1.2,1.4,1,3,3,2,2.7,2.8,2,139531,0.65,0.35,3669,2593,840,236,0.011,-0.02,0.061,0.247
6075030800,417,2g,0.9,1.5,1,1.3,1.4,1,1.6,1.6,1,151250,0.646,0.354,3617,1467,1868,282,0.296,0.249,0.366,0.132
6075030900,392,4a,1.1,1.2,1,1.6,1.5,1,1.1,1,1,174946,0.564,0.436,3440,2177,1037,226,0.115,-0.023,0.338,1.702
6075031000,908,3h,1,1.4,1,2.7,2.9,1,2.5,2.2,1,131544,0.622,0.378,1734,1100,457,177,-0.12,-0.198,-0.013,0.29
6075031100,77,5a,5.1,7,3,5.8,8,2,5.1,8.9,3,112750,0.673,0.327,3912,2133,1535,244,0.06,0.023,0.012,1.816
6075031201,45,3h,4.3,4.2,2,4.8,4.9,2,5,4.9,2,81443,0.298,0.702,4301,2324,1834,143,0.239,0.282,0.192,0.2
6075031202,43,3h,4.1,5.9,2,5.1,6.5,2,5.3,5.5,2,77267,0.175,0.825,1790,919,824,47,0.039,-0.093,0.264,-0.186
6075031301,41,3h,0.5,0.5,1,2.4,2.2,1,2.2,2,1,97866,0.305,0.695,2246,1485,632,129,0.013,0.015,0.014,-0.023
6075031302,10,3g,2.8,3.6,2,3.8,6.1,2,4.7,6.8,3,78548,0.224,0.776,3373,2035,1189,149,0.076,0.134,-0.021,0.172
6075032601,541,2e,1,1,1,2.7,2.7,1,2.5,3.1,2,100240,0.444,0.556,3112,1494,1516,102,0.157,0.167,0.182,-0.195
6075032602,512,2e,0.7,0.8,1,1.3,1,1,1.7,1.4,1,90700,0.322,0.678,2265,1331,832,102,-0.014,-0.04,0.099,-0.331
6075032700,219,2e,3.2,2.6,2,3.6,2.8,2,4.1,3.6,2,111114,0.42,0.58,3940,2144,1536,260,-0.007,-0.032,-0.001,0.208
6075032801,136,2g,3.2,3,2,4.7,4.1,2,4.6,4.9,2,110255,0.487,0.513,2296,1314,923,59,0.214,0.109,0.433,-0.063
6075032802,512,2e,0.7,0.8,1,1.3,1,1,1.7,1.4,1,90700,0.322,0.678,2265,1331,832,102,-0.014,-0.04,0.099,-0.331
6075032901,468,2b,2,1.7,1,1.2,1.2,1,1.7,1.3,1,98023,0.362,0.638,2879,1839,901,139,0.069,0.109,0.025,-0.108
6075032902,505,2e,1.1,0.9,1,1.3,1.7,1,0.9,1,1,93613,0.288,0.712,2211,1274,837,100,0.187,0.093,0.479,-0.229
6075033002,417,2g,0.9,1.5,1,1.3,1.4,1,1.6,1.6,1,151250,0.646,0.354,3617,1467,1868,282,0.296,0.249,0.366,0.132
6075033100,81,3a,1.6,3.3,2,1.9,2.4,1,1.7,2,1,111333,0.432,0.568,1905,1419,363,123,-0.1,-0.041,-0.283,-0.053
6075033201,918,3a,15.1,16.9,4,23.6,22.8,4,11,11.6,3,28750,0.472,0.528,1579,273,1255,51,0.219,0.079,0.302,-0.342
6075033203,883,3g,5.8,10,3,11.1,13.1,3,12.5,13.4,4,50360,0.549,0.451,1942,989,838,115,-0.031,-0.088,0.135,-0.366
6075033204,52,3a,4.4,3.9,2,9.1,8.1,3,8,7.4,3,59125,0.462,0.538,2215,1011,1138,66,0.305,0.336,0.314,-0.107
6075035102,132,2b,2.3,1.6,2,2.1,2,1,2.4,2.4,2,81748,0.401,0.599,3698,2763,886,49,0.024,0.041,0.067,-0.606
6075035201,131,2b,1.9,1.4,1,2,1.9,1,2,2.2,1,92719,0.444,0.556,3065,2056,839,170,0.043,0.042,0.083,-0.109
6075035202,192,2c,1.8,1.7,1,4.1,3.6,2,4.1,3.7,2,83977,0.574,0.426,3012,1912,971,129,0.132,0.379,-0.138,-0.122
6075035300,132,2b,2.3,1.6,2,2.1,2,1,2.4,2.4,2,81748,0.401,0.599,3698,2763,886,49,0.024,0.041,0.067,-0.606
6075035400,472,2b,1.3,0.8,1,1.8,1.4,1,2.5,1.9,1,97689,0.467,0.533,3904,2750,970,184,-0.008,0.039,-0.069,-0.251
6075040100,309,1b,7.5,5.9,3,14,18.8,4,14.1,19,4,96875,0.592,0.408,2810,1241,1336,233,0.093,0.012,0.125,0.49
6075040200,298,1b,7.4,7.5,3,9.4,14.3,3,9.3,14.3,4,98531,0.638,0.362,3258,1302,1630,326,0.019,-0.067,0.082,0.108
6075042601,676,1a,2.9,2.3,2,5.2,6.2,2,3.5,4.6,2,81815,0.6,0.4,2408,1094,1080,234,0.029,0.083,-0.058,0.277
6075042602,297,1a,5.1,4.2,2,7.8,11.8,3,6,9.8,3,89031,0.489,0.511,1972,978,736,258,-0.087,-0.172,-0.035,0.42
6075042700,661,1a,4.6,4.4,2,8.4,9.4,3,7.7,8.9,3,66595,0.478,0.522,3027,1411,1376,240,0.078,0.064,0.166,-0.205
6075042800,316,1d,3.6,2.7,2,6.4,5.8,2,4.8,5.1,2,161523,0.798,0.202,947,647,164,136,-0.016,0.035,-0.109,-0.11
6075045100,309,1b,7.5,5.9,3,14,18.8,4,14.1,19,4,96875,0.592,0.408,2810,1241,1336,233,0.093,0.012,0.125,0.49
6075047600,297,1a,5.1,4.2,2,7.8,11.8,3,6,9.8,3,89031,0.489,0.511,1972,978,736,258,-0.087,-0.172,-0.035,0.42
6075047701,274,1a,2.7,1.5,2,4.4,4.7,2,4.7,5.9,2,82734,0.466,0.534,2316,1348,818,150,-0.013,-0.12,0.074,0.416
6075047702,251,1a,2.9,3.4,2,4.7,7.8,2,5.3,9.5,3,96823,0.533,0.467,2317,1216,974,127,0.023,-0.002,0.116,-0.273
6075047801,274,1a,2.7,1.5,2,4.4,4.7,2,4.7,5.9,2,82734,0.466,0.534,2316,1348,818,150,-0.013,-0.12,0.074,0.416
6075047802,250,1e,2,2.3,2,3.5,6,2,3.7,7.7,3,80801,0.425,0.575,2120,1079,875,166,-0.016,0.148,-0.141,-0.152
6075047902,291,1e,1.4,1.1,1,2.6,1.9,1,2.3,1.9,1,83984,0.647,0.353,2138,1177,724,237,0.143,0.043,0.179,0.831
6075060100,377,7d,10.7,6.6,3,22.1,17.7,4,17.3,14.2,4,129300,0.897,0.103,2277,1202,929,146,0.011,-0.041,0.03,0.485
6075060400,16,3g,6,5.5,3,8.9,8.4,3,10.2,9.5,3,47308,0.697,0.303,745,596,140,9,-0.051,0.04,-0.32,0.429
6075060502,3,10b,0.4,0.4,1,1.1,1.3,1,1.1,1.3,1,27989,0.105,0.895,1257,617,636,4,0.209,0.155,0.298,-0.706
6075061000,881,10a,0.1,0.2,1,0.2,0.2,1,0.1,0.2,1,101977,0.252,0.748,2506,1831,602,73,0.004,-0.042,0.153,0.156
6075061102,354,8b,5,6.5,3,14.1,12,3,9.2,8.3,3,37000,0.461,0.539,1954,411,1452,91,-0.006,-0.099,0.022,0.022
6075061200,406,10a,1.3,1.9,1,2.9,3.8,2,2.5,3.3,2,60903,0.201,0.799,2229,1553,614,62,0.142,0.209,0.003,0.145
6075980200,293,1e,3.8,1.7,2,4.3,3.2,2,3.7,3.1,2,149250,0.544,0.456,64,40,15,9,-0.229,-0.245,-0.317,0.111
6075980300,582,1a,5,8.7,3,8.2,23,4,8.4,24.8,4,131333,0.924,0.076,80,24,56,0,0.081,0.263,0.018,0
6075980501,893,10c,1.5,1.5,1,1.3,2,1,0.7,1.6,1,16016,0.105,0.895,198,129,63,6,-0.25,-0.241,-0.16,-0.65
6075980600,387,10a,0.2,0.2,1,0,0,1,0,0,1,68958,0.401,0.599,243,90,149,4,0.057,-0.28,0.49,-0.167
6075980900,485,10a,5.1,4.9,2,4.4,4.8,2,2.5,3.4,2,103750,0.699,0.301,172,59,70,43,-0.023,-0.366,0.094,1.2
6081600900,16,3g,6,5.5,3,8.9,8.4,3,10.2,9.5,3,47308,0.697,0.303,745,596,140,9,-0.051,0.04,-0.32,0.429
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
